Author,Comment,Published At,Likes
@hiddentrails6735,As an Indian cudos to Canadian citizens. You guys are really resilient and welcoming! <br><br>These guys are misusing the freedom you guys have given them!,2024-10-26T18:27:20Z,9
@swetavatsh3360,You can’t understand the sarcasm that ARYA throws at you !,2024-10-26T18:12:16Z,0
@Im_a_learner,"As an indian, the thing I&#39;m most hurt by seeing is that dumbest canadian MP is and indian canadian. <br>Being an Indian nothing is more horrifying than being called Stupid especially politically uninformed.",2024-10-26T18:05:48Z,1
@DrAkashraj,"It was never Canada vs India, it&#39;s just Trudeau(Khalistani) vs Us 🤣",2024-10-26T17:47:38Z,1
@mahakaal8226,It is hilarious to see a country where people and media is more logical than ruling political leadership 😂😂😂😂😂😂 CA NA DA..,2024-10-26T17:45:56Z,3
@varunthapliyal8960,All indians hate Trudeau 😂,2024-10-26T17:41:39Z,1
@padminignaneswaran5697,look at Indians they are united as indians<br>even though they belongs to different  political<br>parties<br>what about Canadians?,2024-10-26T17:36:52Z,1
@padminignaneswaran5697,SHAME ON CONSERVATIVE  PARTY<br>LETTING YOUR COUNTRY DOWN<br>HOW COME SOMEONE LIVING IN OTHER PART OF <br>THE WORLD  CAN COME TO CANADA AND KILL SOME ONE<br>IS IT ACCEPTABLE<br>CANADA HAS GIVEN ASYLAM FOR  POLITICAL REFUGEES<br>WHAT DOES IT MEAN,2024-10-26T17:30:13Z,1
@DileepKumar-rl1xb,"For full entertainment,  watch Republic TV debate by Arnab Goswamy.",2024-10-26T17:16:56Z,1
@monusharmaa,He is true ❤,2024-10-26T17:14:17Z,0
@thesentry1434,"You are seeing Indian looking people, ethnically they are but mentally not, actually they are Khalistani people",2024-10-26T16:40:10Z,0
@ancymathew3334,"All brown people&#39;s are not Indians. Browns can be Pakistani&#39;s, Nepalis, srilankan, Maldivian any one can be.",2024-10-26T16:32:09Z,0
@harekrishna3711,In India we call him &#39;Justinder Singh Trudeau&quot; ....he looks like a School Monitor ..Canada is such a beautiful country ..how can you elect such an idiot as PM...😅😅,2024-10-26T16:26:57Z,4
@Sarang23818,"I am an Indian nationalist. I believe in my state. And I am proud of my national anthem. <br>I say this with conviction, the distortion of the Canadian National anthem was really disgraceful and insulting to the Canadian nation, the Canadian citizens, the values of Canada.<br>You may be of diverse backgrounds and ethnicities. But if you are a Canadian citizen, you sing the national anthem the way it has to be sung. The national anthem of any nation is its pride. That was really really disgraceful and insulting. I have my opinions about the current Canadian Govt, but this was pathetic and disgraceful. The national flag and the national anthem of any country have to be respected by everyone irrespective of citizenship. Period.",2024-10-26T16:22:08Z,4
@healingh2o,"By joining hands with Canadian terrorist, Trudeau is now become a terrorist. Please do not call Canada an insignificant country. I have no issues with either Canada or Canadians.",2024-10-26T15:58:52Z,1
@9932537733,Wtf Canadian national anthem is punjabi? This is pretty bad.,2024-10-26T14:27:14Z,1
@letcheckitout1,"Canadians are very kind people, but tudoooo doesn&#39;t want their votes. Rather, he wants votes of khalistani Sikhs. Sikhs are more friendly and funny people, but because of these khalistani, they are also being targeted.",2024-10-26T14:14:51Z,1
@SiddNarad,Trudeau is the dumbest shit one can see in live or on internet 😅,2024-10-26T13:36:26Z,0
@totallypointlessvideos3832,JT is a mad man. Canada get him out asap,2024-10-26T13:24:16Z,1
@totallypointlessvideos3832,This Arya guy is fos,2024-10-26T13:12:41Z,0
@Bobbyhoodbrown,"Who is the guy <a href=""https://www.youtube.com/watch?v=6yScHCqAKp0&amp;t=248"">4:08</a>",2024-10-26T12:28:29Z,0
@RealSourav11111,Prime minister of Canada ❌️<br>Trudeau : Clown Minister of Canada 🇨🇦  👍👌,2024-10-26T12:08:23Z,1
@vp66076,Come on guys why you guys talk about Trudoe.   He is not even able to control his own team. We all know what happened when they arrested Hawei chairman daughter. He is just a puppet for many.,2024-10-26T11:48:11Z,0
@sanjeevrajput5646,"I saw Pierre Poilievre making speech in Canadian Parliament - He is the Man of the moment for Canada , He is confident , He is Transparent &amp; He is calm . Get him on-board folks.",2024-10-26T11:36:14Z,8
@rajareddy6730,"I just want to say one thing about Indian people are not bad, the trudeau is playing political games to show indians bad. The people are coming from india to  canada to make life a better place to live in canada or get a good education with 30,000 canadian dollers. But when the collage is completed there are no job for people, the fee paid by the indian for collages wore fake collages. that is the resons indian are coming to the road protests happening right now. Some candian people know well about indians, but coming to the dumb ass influencer are negative comments on indians to go back .  candians please wake up and raise your voice against to trudeau . Indians and Canadian people wore fooled by trusting Trudeau.",2024-10-26T10:51:35Z,2
@saturo_nipon,"be it US or Canada, there is no political side that is favorable to India. They are a uniparty countries, fooling their own people as liberal vs conservative. On the other hand, complex democratic India&#39;s political situation heavily impacts US/Canada&#39;s business deals. Say for example, Modi didnt allow US made vaccines during covid. He even ensured that most supplies are met domestically. That is roughly $500B potential loss to the deep state run establishment. They cried a lot about India back then. Had it been a different government, they would have ensured India is totally sold out. This is the reason why they tried their best interfering in India&#39;s elections to remove Modi. So much so that Soros openly funded anti India narratives and bragged about it. And regarding India Canada trade relations, they are not of a huge deal. They can afford to lose it for the traction this sensationalism gets. It certainly deflected the actual interference that helped the true dough government. Now that the Kalistani narrative has been set, they can become targets if needed, to put more pressure on Indian government.",2024-10-26T10:40:57Z,0
@mahalak4383,Not a fan of trudeau but don&#39;t trust indian media. Indians doesn&#39;t trust indian media,2024-10-26T10:03:13Z,0
@siddharthsinha2342,"@<a href=""https://www.youtube.com/watch?v=6yScHCqAKp0&amp;t=771"">12:51</a> Trudeau lost his socks and his bearings",2024-10-26T09:23:53Z,0
@basantasahoo8460,Canada usa terrorists attack Air India..<br>Usa say..... It&#39;s freedom of speech😂,2024-10-26T09:08:05Z,1
@gurnamgill1618,Does jugmeet really a 🌈 and have belly button 😂..i saw a video where man was shouting at jugmeet claiming this.,2024-10-26T08:49:47Z,1
